
   INFO  Server running on [http://0.0.0.0:12000].  

  Press Ctrl+C to stop the server
  2025-05-19 20:47:18 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.11ms
  2025-05-19 20:47:21 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................. ~ 500.32ms
  2025-05-19 20:47:25 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.09ms
  2025-05-19 20:47:28 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.08ms
  2025-05-19 20:47:32 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.10ms
  2025-05-19 20:47:36 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.13ms
  2025-05-19 20:47:39 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.13ms
  2025-05-19 20:47:43 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.09ms
  2025-05-19 20:47:46 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.10ms
  2025-05-19 20:47:50 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.10ms
  2025-05-19 20:47:53 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.10ms
  2025-05-19 20:47:57 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.09ms
  2025-05-19 20:48:00 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.11ms
